event,step,episodes,episode_steps,episode_score,death_reason,avg_score,avg_loss,best_score,replay_size,eval_score,eval_score_median,eval_score_max,eval_reward,eval_death_self,eval_death_wall,eval_death_timeout,best_eval
episode,75,1,75,0,self,,,0,75,,,,,,,,
episode,150,2,75,0,self,,,0,150,,,,,,,,
episode,225,3,75,0,self,,,0,225,,,,,,,,
episode,300,4,75,0,self,,,0,300,,,,,,,,
episode,377,5,77,0,self,,,0,377,,,,,,,,
episode,378,6,1,0,wall,,,0,378,,,,,,,,
episode,453,7,75,0,self,,,0,453,,,,,,,,
episode,528,8,75,0,self,,,0,528,,,,,,,,
episode,568,9,40,0,wall,,,0,568,,,,,,,,
episode,631,10,63,0,wall,,,0,631,,,,,,,,
episode,706,11,75,0,self,,,0,706,,,,,,,,
episode,781,12,75,0,self,,,0,781,,,,,,,,
episode,856,13,75,0,self,,,0,856,,,,,,,,
episode,931,14,75,0,self,,,0,931,,,,,,,,
episode,1006,15,75,0,self,,,0,1006,,,,,,,,
episode,1007,16,1,0,wall,,,0,1007,,,,,,,,
episode,1082,17,75,0,self,,,0,1082,,,,,,,,
episode,1157,18,75,0,self,,,0,1157,,,,,,,,
episode,1161,19,4,0,wall,,,0,1161,,,,,,,,
episode,1186,20,25,0,wall,,,0,1186,,,,,,,,
episode,1203,21,17,0,wall,,,0,1203,,,,,,,,
episode,1278,22,75,0,self,,,0,1278,,,,,,,,
episode,1353,23,75,0,self,,,0,1353,,,,,,,,
episode,1428,24,75,0,self,,,0,1428,,,,,,,,
episode,1503,25,75,0,self,,,0,1503,,,,,,,,
episode,1578,26,75,0,self,,,0,1578,,,,,,,,
episode,1623,27,45,0,wall,,,0,1623,,,,,,,,
episode,1698,28,75,0,self,,,0,1698,,,,,,,,
episode,1773,29,75,0,self,,,0,1773,,,,,,,,
episode,1849,30,76,0,self,,,0,1849,,,,,,,,
episode,1916,31,67,0,wall,,,0,1916,,,,,,,,
episode,1991,32,75,0,self,,,0,1991,,,,,,,,
train,2000,32,,,,0.0,0.0,0,2000,,,,,,,,
episode,2007,33,16,0,wall,,,0,2007,,,,,,,,
episode,2082,34,75,1,self,,,1,2082,,,,,,,,
episode,2083,35,1,0,wall,,,1,2083,,,,,,,,
episode,2158,36,75,0,self,,,1,2158,,,,,,,,
episode,2233,37,75,0,self,,,1,2233,,,,,,,,
episode,2297,38,64,0,wall,,,1,2297,,,,,,,,
episode,2372,39,75,0,self,,,1,2372,,,,,,,,
episode,2435,40,63,0,wall,,,1,2435,,,,,,,,
episode,2510,41,75,0,self,,,1,2510,,,,,,,,
episode,2585,42,75,0,self,,,1,2585,,,,,,,,
episode,2660,43,75,0,self,,,1,2660,,,,,,,,
episode,2735,44,75,0,self,,,1,2735,,,,,,,,
episode,2810,45,75,0,self,,,1,2810,,,,,,,,
episode,2818,46,8,0,wall,,,1,2818,,,,,,,,
episode,2819,47,1,0,wall,,,1,2819,,,,,,,,
episode,2896,48,77,0,self,,,1,2896,,,,,,,,
episode,2963,49,67,0,wall,,,1,2963,,,,,,,,
episode,2964,50,1,0,wall,,,1,2964,,,,,,,,
episode,3029,51,65,0,wall,,,1,3029,,,,,,,,
episode,3104,52,75,0,self,,,1,3104,,,,,,,,
episode,3180,53,76,0,self,,,1,3180,,,,,,,,
episode,3192,54,12,0,wall,,,1,3192,,,,,,,,
episode,3235,55,43,0,wall,,,1,3235,,,,,,,,
episode,3310,56,75,0,self,,,1,3310,,,,,,,,
episode,3385,57,75,0,self,,,1,3385,,,,,,,,
episode,3405,58,20,0,wall,,,1,3405,,,,,,,,
episode,3480,59,75,0,self,,,1,3480,,,,,,,,
episode,3516,60,36,0,wall,,,1,3516,,,,,,,,
episode,3591,61,75,0,self,,,1,3591,,,,,,,,
episode,3592,62,1,0,wall,,,1,3592,,,,,,,,
episode,3593,63,1,0,wall,,,1,3593,,,,,,,,
episode,3668,64,75,0,self,,,1,3668,,,,,,,,
episode,3706,65,38,0,wall,,,1,3706,,,,,,,,
episode,3707,66,1,0,wall,,,1,3707,,,,,,,,
episode,3782,67,75,1,self,,,1,3782,,,,,,,,
episode,3860,68,78,0,self,,,1,3860,,,,,,,,
episode,3936,69,76,1,self,,,1,3936,,,,,,,,
train,4000,69,,,,0.043478260869565216,0.0,1,4000,,,,,,,,
episode,4011,70,75,0,self,,,1,4011,,,,,,,,
episode,4077,71,66,0,wall,,,1,4077,,,,,,,,
episode,4152,72,75,0,self,,,1,4152,,,,,,,,
episode,4227,73,75,0,self,,,1,4227,,,,,,,,
episode,4302,74,75,0,self,,,1,4302,,,,,,,,
episode,4377,75,75,0,self,,,1,4377,,,,,,,,
episode,4405,76,28,0,wall,,,1,4405,,,,,,,,
episode,4480,77,75,0,self,,,1,4480,,,,,,,,
episode,4504,78,24,0,wall,,,1,4504,,,,,,,,
episode,4505,79,1,0,wall,,,1,4505,,,,,,,,
episode,4580,80,75,0,self,,,1,4580,,,,,,,,
episode,4655,81,75,0,self,,,1,4655,,,,,,,,
episode,4656,82,1,0,wall,,,1,4656,,,,,,,,
episode,4685,83,29,0,wall,,,1,4685,,,,,,,,
episode,4760,84,75,0,self,,,1,4760,,,,,,,,
episode,4835,85,75,0,self,,,1,4835,,,,,,,,
episode,4836,86,1,0,wall,,,1,4836,,,,,,,,
episode,4911,87,75,0,self,,,1,4911,,,,,,,,
episode,4986,88,75,0,self,,,1,4986,,,,,,,,
episode,5002,89,16,0,wall,,,1,5002,,,,,,,,
episode,5003,90,1,0,wall,,,1,5003,,,,,,,,
episode,5004,91,1,0,wall,,,1,5004,,,,,,,,
episode,5063,92,59,1,wall,,,1,5063,,,,,,,,
episode,5066,93,3,0,wall,,,1,5066,,,,,,,,
episode,5072,94,6,0,wall,,,1,5072,,,,,,,,
episode,5076,95,4,0,wall,,,1,5076,,,,,,,,
episode,5092,96,16,1,wall,,,1,5092,,,,,,,,
episode,5101,97,9,0,wall,,,1,5101,,,,,,,,
episode,5119,98,18,0,wall,,,1,5119,,,,,,,,
episode,5132,99,13,0,wall,,,1,5132,,,,,,,,
episode,5136,100,4,0,wall,,,1,5136,,,,,,,,
episode,5142,101,6,0,wall,,,1,5142,,,,,,,,
episode,5144,102,2,0,wall,,,1,5144,,,,,,,,
episode,5146,103,2,0,wall,,,1,5146,,,,,,,,
episode,5188,104,42,0,wall,,,1,5188,,,,,,,,
episode,5191,105,3,0,wall,,,1,5191,,,,,,,,
episode,5217,106,26,0,wall,,,1,5217,,,,,,,,
episode,5292,107,75,0,self,,,1,5292,,,,,,,,
episode,5293,108,1,0,wall,,,1,5293,,,,,,,,
episode,5368,109,75,2,self,,,2,5368,,,,,,,,
episode,5443,110,75,0,self,,,2,5443,,,,,,,,
episode,5518,111,75,0,self,,,2,5518,,,,,,,,
episode,5575,112,57,0,wall,,,2,5575,,,,,,,,
episode,5577,113,2,0,wall,,,2,5577,,,,,,,,
episode,5659,114,82,0,self,,,2,5659,,,,,,,,
episode,5693,115,34,0,wall,,,2,5693,,,,,,,,
episode,5768,116,75,0,self,,,2,5768,,,,,,,,
episode,5769,117,1,0,wall,,,2,5769,,,,,,,,
episode,5844,118,75,0,self,,,2,5844,,,,,,,,
