event,step,episodes,episode_steps,episode_score,death_reason,episode_length,avg_score,avg_loss,best_score,replay_size,eval_score,eval_score_median,eval_score_max,eval_reward,eval_avg_length,eval_max_length,eval_death_self,eval_death_wall,eval_death_timeout,best_eval
episode,14,1,14,0,wall,2,,,0,14,,,,,,,,,,
episode,43,2,29,0,wall,2,,,0,43,,,,,,,,,,
episode,93,3,50,0,timeout,2,,,0,93,,,,,,,,,,
episode,96,4,3,0,wall,2,,,0,96,,,,,,,,,,
episode,129,5,33,0,wall,2,,,0,129,,,,,,,,,,
episode,179,6,50,0,timeout,2,,,0,179,,,,,,,,,,
episode,229,7,50,0,timeout,2,,,0,229,,,,,,,,,,
episode,241,8,12,0,wall,2,,,0,241,,,,,,,,,,
episode,258,9,17,0,wall,2,,,0,258,,,,,,,,,,
episode,308,10,50,0,timeout,2,,,0,308,,,,,,,,,,
episode,337,11,29,0,wall,2,,,0,337,,,,,,,,,,
episode,365,12,28,0,wall,2,,,0,365,,,,,,,,,,
episode,366,13,1,0,wall,2,,,0,366,,,,,,,,,,
episode,367,14,1,0,wall,2,,,0,367,,,,,,,,,,
episode,371,15,4,0,wall,2,,,0,371,,,,,,,,,,
episode,421,16,50,0,timeout,2,,,0,421,,,,,,,,,,
episode,471,17,50,0,timeout,2,,,0,471,,,,,,,,,,
episode,521,18,50,0,timeout,2,,,0,521,,,,,,,,,,
episode,571,19,50,0,timeout,2,,,0,571,,,,,,,,,,
episode,578,20,7,0,wall,2,,,0,578,,,,,,,,,,
episode,624,21,46,0,wall,2,,,0,624,,,,,,,,,,
episode,625,22,1,0,wall,2,,,0,625,,,,,,,,,,
episode,637,23,12,0,wall,2,,,0,637,,,,,,,,,,
episode,687,24,50,0,timeout,2,,,0,687,,,,,,,,,,
episode,706,25,19,0,wall,2,,,0,706,,,,,,,,,,
episode,718,26,12,0,wall,2,,,0,718,,,,,,,,,,
episode,758,27,40,0,wall,2,,,0,758,,,,,,,,,,
episode,761,28,3,0,wall,2,,,0,761,,,,,,,,,,
episode,769,29,8,0,wall,2,,,0,769,,,,,,,,,,
episode,774,30,5,0,wall,2,,,0,774,,,,,,,,,,
episode,824,31,50,0,timeout,2,,,0,824,,,,,,,,,,
episode,874,32,50,0,timeout,2,,,0,874,,,,,,,,,,
episode,875,33,1,0,wall,2,,,0,875,,,,,,,,,,
episode,927,34,52,1,wall,3,,,1,927,,,,,,,,,,
episode,946,35,19,0,wall,2,,,1,946,,,,,,,,,,
episode,947,36,1,0,wall,2,,,1,947,,,,,,,,,,
episode,948,37,1,0,wall,2,,,1,948,,,,,,,,,,
episode,978,38,30,0,wall,2,,,1,978,,,,,,,,,,
episode,981,39,3,0,wall,2,,,1,981,,,,,,,,,,
episode,982,40,1,0,wall,2,,,1,982,,,,,,,,,,
episode,1020,41,38,1,wall,3,,,1,1020,,,,,,,,,,
episode,1070,42,50,0,timeout,2,,,1,1070,,,,,,,,,,
