event,step,episodes,episode_steps,episode_score,death_reason,avg_score,avg_loss,best_score,replay_size,eval_score,eval_reward,best_eval
episode,10,1,10,0,wall,,,0,10,,,
episode,41,2,31,0,wall,,,0,41,,,
episode,47,3,6,0,wall,,,0,47,,,
episode,59,4,12,0,wall,,,0,59,,,
episode,71,5,12,0,wall,,,0,71,,,
episode,84,6,13,0,wall,,,0,84,,,
episode,111,7,27,0,wall,,,0,111,,,
episode,129,8,18,0,wall,,,0,129,,,
episode,155,9,26,0,wall,,,0,155,,,
episode,182,10,27,0,wall,,,0,182,,,
episode,198,11,16,0,wall,,,0,198,,,
episode,211,12,13,0,wall,,,0,211,,,
episode,278,13,67,0,wall,,,0,278,,,
episode,299,14,21,0,wall,,,0,299,,,
episode,324,15,25,1,wall,,,1,324,,,
episode,349,16,25,0,wall,,,1,349,,,
episode,363,17,14,0,wall,,,1,363,,,
episode,368,18,5,0,wall,,,1,368,,,
episode,381,19,13,0,wall,,,1,381,,,
episode,402,20,21,0,wall,,,1,402,,,
episode,415,21,13,0,wall,,,1,415,,,
episode,425,22,10,0,wall,,,1,425,,,
episode,443,23,18,0,wall,,,1,443,,,
episode,456,24,13,0,wall,,,1,456,,,
episode,469,25,13,0,wall,,,1,469,,,
episode,479,26,10,0,wall,,,1,479,,,
episode,495,27,16,0,wall,,,1,495,,,
episode,528,28,33,0,wall,,,1,528,,,
episode,557,29,29,0,wall,,,1,557,,,
episode,576,30,19,0,wall,,,1,576,,,
episode,593,31,17,0,wall,,,1,593,,,
episode,625,32,32,0,wall,,,1,625,,,
episode,638,33,13,1,wall,,,1,638,,,
episode,674,34,36,0,wall,,,1,674,,,
episode,693,35,19,1,wall,,,1,693,,,
episode,703,36,10,0,wall,,,1,703,,,
episode,718,37,15,0,wall,,,1,718,,,
episode,754,38,36,0,wall,,,1,754,,,
episode,764,39,10,0,wall,,,1,764,,,
episode,770,40,6,0,wall,,,1,770,,,
episode,799,41,29,0,wall,,,1,799,,,
episode,809,42,10,0,wall,,,1,809,,,
episode,832,43,23,1,wall,,,1,832,,,
episode,847,44,15,0,wall,,,1,847,,,
episode,926,45,79,0,wall,,,1,926,,,
episode,932,46,6,0,wall,,,1,932,,,
episode,976,47,44,1,wall,,,1,976,,,
episode,1000,48,24,0,wall,,,1,1000,,,
episode,1038,49,38,0,wall,,,1,1038,,,
episode,1066,50,28,0,wall,,,1,1066,,,
episode,1093,51,27,0,wall,,,1,1093,,,
episode,1103,52,10,0,wall,,,1,1103,,,
episode,1136,53,33,0,wall,,,1,1136,,,
episode,1176,54,40,0,wall,,,1,1176,,,
episode,1181,55,5,0,wall,,,1,1181,,,
episode,1201,56,20,0,wall,,,1,1201,,,
episode,1208,57,7,0,wall,,,1,1208,,,
episode,1240,58,32,1,wall,,,1,1240,,,
episode,1250,59,10,0,wall,,,1,1250,,,
episode,1267,60,17,0,wall,,,1,1267,,,
episode,1298,61,31,0,wall,,,1,1298,,,
episode,1323,62,25,0,wall,,,1,1323,,,
episode,1356,63,33,0,wall,,,1,1356,,,
episode,1386,64,30,0,wall,,,1,1386,,,
