event,step,episodes,episode_steps,episode_score,death_reason,avg_score,avg_loss,best_score,replay_size,eval_score,eval_score_median,eval_score_max,eval_reward,eval_death_self,eval_death_wall,eval_death_timeout,best_eval
episode,15,1,15,0,wall,,,0,15,,,,,,,,
episode,50,2,35,0,wall,,,0,50,,,,,,,,
episode,55,3,5,0,wall,,,0,55,,,,,,,,
episode,62,4,7,0,wall,,,0,62,,,,,,,,
episode,65,5,3,0,self,,,0,65,,,,,,,,
episode,67,6,2,0,self,,,0,67,,,,,,,,
episode,73,7,6,0,self,,,0,73,,,,,,,,
episode,77,8,4,0,self,,,0,77,,,,,,,,
episode,90,9,13,0,wall,,,0,90,,,,,,,,
episode,99,10,9,0,wall,,,0,99,,,,,,,,
episode,106,11,7,0,wall,,,0,106,,,,,,,,
episode,117,12,11,0,wall,,,0,117,,,,,,,,
episode,119,13,2,0,self,,,0,119,,,,,,,,
episode,133,14,14,0,wall,,,0,133,,,,,,,,
episode,147,15,14,0,wall,,,0,147,,,,,,,,
episode,150,16,3,0,self,,,0,150,,,,,,,,
episode,157,17,7,0,self,,,0,157,,,,,,,,
episode,172,18,15,0,wall,,,0,172,,,,,,,,
episode,175,19,3,0,wall,,,0,175,,,,,,,,
episode,179,20,4,0,wall,,,0,179,,,,,,,,
episode,189,21,10,0,wall,,,0,189,,,,,,,,
episode,199,22,10,0,wall,,,0,199,,,,,,,,
episode,203,23,4,0,wall,,,0,203,,,,,,,,
episode,217,24,14,0,wall,,,0,217,,,,,,,,
episode,219,25,2,0,self,,,0,219,,,,,,,,
episode,226,26,7,0,wall,,,0,226,,,,,,,,
episode,229,27,3,0,self,,,0,229,,,,,,,,
episode,239,28,10,1,self,,,1,239,,,,,,,,
episode,242,29,3,0,self,,,1,242,,,,,,,,
episode,260,30,18,0,wall,,,1,260,,,,,,,,
episode,262,31,2,0,wall,,,1,262,,,,,,,,
episode,265,32,3,0,self,,,1,265,,,,,,,,
episode,277,33,12,1,self,,,1,277,,,,,,,,
episode,279,34,2,0,self,,,1,279,,,,,,,,
