generation,best_score,best_coverage,avg_score,avg_coverage,median_score,min_score,max_score,best_ever_score,best_ever_coverage,elite_avg_score,sigma,gen_time,total_time
1,43.2,0.4619999999999999,14.735,0.17735,13.6,0.0,43.2,43.2,0.4619999999999999,32.825,0.1,4.39,4.41
2,42.6,0.45599999999999996,16.428,0.19428,15.399999999999999,0.0,42.6,43.2,0.4619999999999999,34.230000000000004,0.1,4.59,9.04
3,41.4,0.44400000000000006,17.924,0.20923999999999998,18.2,0.0,41.4,43.2,0.4619999999999999,35.14,0.1,4.55,13.61
4,41.4,0.44399999999999995,17.031000000000002,0.20031,15.8,0.0,41.4,43.2,0.4619999999999999,35.075,0.1,4.37,18.00
5,42.0,0.45,17.103,0.20103000000000001,15.8,0.0,42.0,43.2,0.4619999999999999,35.275,0.1,4.67,22.69
6,40.4,0.434,16.674,0.19674,16.2,0.0,40.4,43.2,0.4619999999999999,35.05500000000001,0.1,4.78,27.50
7,43.2,0.462,19.081999999999997,0.22082000000000002,20.700000000000003,0.0,43.2,43.2,0.462,36.17999999999999,0.1,4.88,32.40
8,41.0,0.44000000000000006,18.324,0.21323999999999999,17.7,0.0,41.0,43.2,0.462,35.96,0.1,4.61,37.03
9,40.4,0.434,17.207000000000004,0.20207,17.0,0.0,40.4,43.2,0.462,35.735,0.1,4.49,41.54
10,42.8,0.458,18.386000000000003,0.21385999999999997,19.299999999999997,0.0,42.8,43.2,0.462,36.045,0.1,4.62,46.18
11,42.6,0.45599999999999996,18.02,0.21020000000000003,17.8,0.0,42.6,43.2,0.462,35.864999999999995,0.1,4.62,50.82
12,41.2,0.442,19.248,0.22247999999999998,22.2,0.0,41.2,43.2,0.462,36.379999999999995,0.1,4.58,55.42
13,41.6,0.446,21.634,0.24634,25.8,0.0,41.6,43.2,0.462,37.345000000000006,0.08000000000000002,4.96,60.40
14,43.8,0.46799999999999997,21.848000000000003,0.24847999999999998,24.2,0.0,43.8,43.8,0.46799999999999997,37.095,0.08000000000000002,4.98,65.40
15,43.2,0.462,22.410999999999998,0.25411,26.8,0.0,43.2,43.8,0.46799999999999997,36.85,0.08000000000000002,5.18,70.61
16,42.6,0.45600000000000007,22.24,0.2524,26.8,0.0,42.6,43.8,0.46799999999999997,37.45,0.08000000000000002,5.10,75.73
17,42.0,0.45,23.272,0.26272,26.9,0.0,42.0,43.8,0.46799999999999997,37.775,0.08000000000000002,5.19,80.95
18,45.6,0.48599999999999993,23.26,0.2626,26.9,0.0,45.6,45.6,0.48599999999999993,38.005,0.08000000000000002,5.23,86.20
19,40.4,0.434,23.647,0.26647,27.3,0.0,40.4,45.6,0.48599999999999993,37.654999999999994,0.08000000000000002,5.18,91.39
20,44.2,0.472,24.622,0.27621999999999997,28.5,0.0,44.2,45.6,0.48599999999999993,38.544999999999995,0.08000000000000002,5.40,96.81
21,43.6,0.466,22.647,0.25647,26.4,0.0,43.6,45.6,0.48599999999999993,37.995,0.08000000000000002,5.25,102.09
22,43.0,0.45999999999999996,24.149000000000004,0.27148999999999995,28.0,0.0,43.0,45.6,0.48599999999999993,38.57000000000001,0.08000000000000002,5.12,107.22
23,43.6,0.466,23.965,0.26964999999999995,27.3,0.0,43.6,45.6,0.48599999999999993,38.75,0.08000000000000002,5.64,112.87
24,44.6,0.476,23.36,0.2636,28.6,0.0,44.6,45.6,0.48599999999999993,39.325,0.08000000000000002,5.73,118.62
25,46.2,0.492,24.908999999999995,0.27909,28.4,0.0,46.2,46.2,0.492,39.975,0.08000000000000002,5.48,124.11
26,45.4,0.484,24.029,0.27029,27.0,0.0,45.4,46.2,0.492,38.964999999999996,0.08000000000000002,5.30,129.43
27,41.8,0.44799999999999995,23.506999999999998,0.26507,27.1,0.0,41.8,46.2,0.492,38.525,0.08000000000000002,5.44,134.89
28,45.0,0.4800000000000001,24.288999999999998,0.27288999999999997,27.5,0.0,45.0,46.2,0.492,38.95,0.08000000000000002,5.21,140.12
29,44.0,0.4699999999999999,24.894000000000002,0.27894,29.700000000000003,0.0,44.0,46.2,0.492,39.535000000000004,0.08000000000000002,5.37,145.50
30,46.2,0.492,25.383999999999997,0.28384,29.2,0.0,46.2,46.2,0.492,40.345000000000006,0.08000000000000002,5.55,151.07
31,44.4,0.47400000000000003,25.826000000000004,0.28826,28.8,0.0,44.4,46.2,0.492,40.05499999999999,0.08000000000000002,5.27,156.36
32,43.8,0.46799999999999997,24.593999999999998,0.27594,29.1,0.0,43.8,46.2,0.492,39.925,0.08000000000000002,5.36,161.74
33,45.4,0.484,23.971,0.26971,26.2,0.0,45.4,46.2,0.492,40.46,0.08000000000000002,5.26,167.02
34,45.4,0.484,24.069000000000003,0.27069,28.700000000000003,0.0,45.4,46.2,0.492,40.379999999999995,0.08000000000000002,5.16,172.19
35,47.8,0.508,25.612999999999996,0.28613,30.0,0.0,47.8,47.8,0.508,41.14,0.08000000000000002,5.55,177.76
36,45.0,0.48,25.755,0.28755000000000003,30.4,0.0,45.0,47.8,0.508,40.665,0.08000000000000002,5.52,183.29
37,45.6,0.48599999999999993,26.798999999999996,0.29799,30.9,0.0,45.6,47.8,0.508,40.934999999999995,0.08000000000000002,5.56,188.87
38,45.4,0.484,27.695999999999998,0.30696,31.9,0.0,45.4,47.8,0.508,41.785,0.08000000000000002,5.58,194.47
39,46.8,0.49800000000000005,27.607000000000003,0.30607,32.3,0.0,46.8,47.8,0.508,42.154999999999994,0.08000000000000002,5.53,200.02
40,46.0,0.49000000000000005,27.318,0.30318,31.6,0.0,46.0,47.8,0.508,41.775,0.08000000000000002,5.87,205.91
41,46.4,0.49400000000000005,29.809,0.32809,34.0,0.0,46.4,47.8,0.508,42.345000000000006,0.08000000000000002,6.11,212.04
42,45.8,0.488,28.680999999999997,0.31681000000000004,33.4,0.0,45.8,47.8,0.508,42.1,0.08000000000000002,5.86,217.92
43,46.8,0.49800000000000005,29.974,0.32974000000000003,33.2,0.0,46.8,47.8,0.508,42.64,0.08000000000000002,6.24,224.18
44,45.6,0.48599999999999993,30.602999999999998,0.33602999999999994,34.3,0.6,45.6,47.8,0.508,42.79,0.08000000000000002,6.03,230.22
45,47.2,0.502,29.778999999999996,0.32779,34.1,0.2,47.2,47.8,0.508,42.379999999999995,0.08000000000000002,5.97,236.21
46,46.6,0.496,30.435,0.33435000000000004,34.8,0.0,46.6,47.8,0.508,42.8,0.08000000000000002,6.07,242.30
47,46.4,0.49399999999999994,31.046999999999997,0.34047000000000005,36.2,0.0,46.4,47.8,0.508,42.445,0.08000000000000002,6.03,248.34
48,47.2,0.502,28.947,0.31947000000000003,34.1,0.0,47.2,47.8,0.508,43.11,0.08000000000000002,5.96,254.33
49,46.8,0.49800000000000005,29.581,0.32581000000000004,34.2,0.0,46.8,47.8,0.508,42.635000000000005,0.08000000000000002,5.67,260.01
50,46.8,0.49800000000000005,32.191,0.35191,35.8,0.2,46.8,47.8,0.508,43.15,0.08000000000000002,6.01,266.04
51,47.4,0.504,32.534,0.35534,35.5,0.0,47.4,47.8,0.508,43.010000000000005,0.08000000000000002,6.09,272.15
52,46.4,0.49399999999999994,30.081999999999997,0.33081999999999995,34.5,0.0,46.4,47.8,0.508,42.4,0.08000000000000002,6.06,278.23
53,46.8,0.49800000000000005,31.308000000000003,0.34308,35.8,0.4,46.8,47.8,0.508,43.07,0.08000000000000002,6.09,284.35
54,45.8,0.488,30.581,0.33581000000000005,34.8,0.0,45.8,47.8,0.508,42.72,0.08000000000000002,6.18,290.55
55,47.4,0.504,30.485,0.33485,34.5,0.0,47.4,47.8,0.508,43.834999999999994,0.08000000000000002,6.77,297.34
56,49.0,0.5199999999999999,32.256,0.35256,36.2,0.2,49.0,49.0,0.5199999999999999,44.63,0.08000000000000002,6.65,304.02
57,48.0,0.51,31.39,0.3439,34.8,0.4,48.0,49.0,0.5199999999999999,43.935,0.08000000000000002,6.16,310.21
58,47.8,0.508,30.19,0.33190000000000003,35.8,0.0,47.8,49.0,0.5199999999999999,44.405,0.08000000000000002,5.85,316.07
