generation,best_score,best_coverage,avg_score,avg_coverage,median_score,min_score,max_score,best_ever_score,best_ever_coverage,elite_avg_score,sigma,gen_time,total_time,single_best_score,single_best_coverage
1,3.8,0.068,0.1366666666666667,0.03136666666666667,0.0,0.0,3.8,3.8,0.068,0.7280000000000001,0.1,1.85,1.86,7,0.1
2,5.8,0.088,0.4746666666666668,0.03474666666666666,0.0,0.0,5.8,5.8,0.088,1.9680000000000002,0.1,1.66,3.55,13,0.16
3,23.2,0.262,1.2913333333333334,0.04291333333333334,0.8,0.0,23.2,23.2,0.262,4.139999999999999,0.1,1.53,5.10,29,0.32
4,24.0,0.27,2.102,0.05102,1.6,0.0,24.0,24.0,0.27,6.507999999999999,0.1,1.70,6.83,28,0.31
5,28.8,0.31799999999999995,3.5926666666666667,0.06592666666666666,2.0,0.0,28.8,28.8,0.31799999999999995,12.395999999999999,0.1,2.36,9.22,33,0.36
6,26.8,0.298,5.848666666666667,0.08848666666666666,3.4,0.0,26.8,28.8,0.31799999999999995,17.244,0.1,2.89,12.13,34,0.37
7,29.2,0.322,7.746666666666667,0.10746666666666667,5.1,0.0,29.2,29.2,0.322,21.156,0.1,3.40,15.55,34,0.37
8,31.2,0.34199999999999997,8.316666666666665,0.11316666666666668,4.5,0.0,31.2,31.2,0.34199999999999997,22.856000000000005,0.1,3.57,19.15,37,0.4
9,31.4,0.34400000000000003,9.189333333333334,0.12189333333333333,5.0,0.0,31.4,31.4,0.34400000000000003,24.016,0.1,4.05,23.22,34,0.37
10,29.2,0.322,9.606666666666667,0.12606666666666666,5.4,0.0,29.2,31.4,0.34400000000000003,24.796,0.1,3.92,27.17,36,0.39
11,31.6,0.34600000000000003,10.919333333333332,0.1391933333333333,8.6,0.0,31.6,31.6,0.34600000000000003,25.495999999999995,0.1,4.66,31.86,37,0.4
12,30.2,0.332,11.321999999999997,0.14322,9.3,0.0,30.2,31.6,0.34600000000000003,25.652,0.1,4.68,36.56,36,0.39
13,29.2,0.322,12.640666666666668,0.15640666666666664,13.1,0.0,29.2,31.6,0.34600000000000003,26.404000000000007,0.08000000000000002,4.82,41.41,36,0.39
14,32.4,0.354,14.686,0.17686,16.6,0.0,32.4,32.4,0.354,27.723999999999997,0.08000000000000002,5.45,46.89,38,0.41
15,33.6,0.366,14.778666666666668,0.17778666666666665,16.0,0.0,33.6,33.6,0.366,28.776000000000003,0.08000000000000002,5.60,52.51,39,0.42
16,32.6,0.35600000000000004,14.898000000000001,0.17898,14.8,0.0,32.6,33.6,0.366,29.176,0.08000000000000002,5.60,58.14,39,0.42
17,34.0,0.37,15.772000000000002,0.18772000000000005,17.1,0.0,34.0,34.0,0.37,29.692000000000007,0.08000000000000002,5.49,63.66,40,0.43
18,32.8,0.358,16.12933333333333,0.19129333333333334,17.8,0.0,32.8,34.0,0.37,29.744000000000007,0.08000000000000002,5.73,69.42,40,0.43
19,33.2,0.36199999999999993,16.049333333333333,0.19049333333333335,18.6,0.0,33.2,34.0,0.37,30.148000000000003,0.08000000000000002,5.74,75.18,38,0.41
20,34.6,0.376,15.379333333333333,0.18379333333333336,16.2,0.0,34.6,34.6,0.376,29.96,0.08000000000000002,5.94,81.14,39,0.42
21,35.6,0.38599999999999995,15.229333333333335,0.18229333333333334,15.4,0.0,35.6,35.6,0.38599999999999995,30.608,0.08000000000000002,6.00,87.18,42,0.45
22,35.0,0.38,15.051333333333332,0.18051333333333333,15.0,0.0,35.0,35.6,0.38599999999999995,30.736,0.08000000000000002,5.40,92.60,41,0.44
23,33.4,0.36400000000000005,15.488,0.18488,15.3,0.0,33.4,35.6,0.38599999999999995,31.068,0.08000000000000002,5.78,98.41,38,0.41
24,34.4,0.37399999999999994,15.792000000000002,0.18792,17.7,0.0,34.4,35.6,0.38599999999999995,30.904,0.08000000000000002,5.90,104.34,40,0.43
25,35.0,0.38,16.953333333333333,0.19953333333333337,19.8,0.0,35.0,35.6,0.38599999999999995,30.804000000000002,0.08000000000000002,5.97,110.34,41,0.44
26,34.2,0.372,15.798666666666668,0.18798666666666664,15.7,0.0,34.2,35.6,0.38599999999999995,31.535999999999994,0.08000000000000002,6.14,116.51,42,0.45
27,34.6,0.376,17.162000000000003,0.20162,19.9,0.0,34.6,35.6,0.38599999999999995,30.988000000000003,0.08000000000000002,6.19,122.72,44,0.47
28,35.4,0.384,16.316666666666666,0.1931666666666667,17.700000000000003,0.0,35.4,35.6,0.38599999999999995,31.248,0.08000000000000002,6.02,128.78,44,0.47
29,35.8,0.388,16.896666666666665,0.19896666666666668,20.4,0.0,35.8,35.8,0.388,31.939999999999994,0.08000000000000002,6.14,134.95,44,0.47
30,36.6,0.396,16.008000000000003,0.19008,17.4,0.0,36.6,36.6,0.396,32.071999999999996,0.08000000000000002,5.92,140.90,42,0.45
31,35.8,0.388,17.720666666666666,0.20720666666666665,22.4,0.0,35.8,36.6,0.396,32.224000000000004,0.08000000000000002,5.90,146.83,41,0.44
32,37.0,0.4,17.23,0.2023,21.299999999999997,0.0,37.0,37.0,0.4,33.044000000000004,0.08000000000000002,6.08,152.94,44,0.47
33,36.8,0.398,19.227333333333334,0.22227333333333335,24.0,0.0,36.8,37.0,0.4,33.036,0.08000000000000002,6.40,159.37,43,0.46
34,37.0,0.39999999999999997,19.168000000000006,0.22167999999999996,23.2,0.0,37.0,37.0,0.4,32.504,0.08000000000000002,6.47,165.87,42,0.45
35,36.2,0.39199999999999996,18.76066666666667,0.21760666666666664,22.299999999999997,0.0,36.2,37.0,0.4,33.292,0.08000000000000002,6.15,172.04,42,0.45
36,37.4,0.404,18.649333333333335,0.21649333333333337,22.9,0.0,37.4,37.4,0.404,33.495999999999995,0.08000000000000002,6.45,178.52,47,0.5
37,37.0,0.39999999999999997,19.144000000000002,0.22144,23.299999999999997,0.0,37.0,37.4,0.404,33.512,0.08000000000000002,6.26,184.81,43,0.46
38,37.4,0.404,16.979333333333333,0.19979333333333335,19.5,0.0,37.4,37.4,0.404,33.76,0.08000000000000002,6.12,190.96,47,0.5
39,38.4,0.41400000000000003,17.26533333333333,0.20265333333333335,19.0,0.0,38.4,38.4,0.41400000000000003,33.608000000000004,0.08000000000000002,5.99,196.97,48,0.51
40,36.6,0.39599999999999996,18.47266666666667,0.21472666666666668,21.700000000000003,0.0,36.6,38.4,0.41400000000000003,33.688,0.08000000000000002,5.94,202.95,44,0.47
41,38.8,0.41800000000000004,17.901333333333334,0.20901333333333336,20.8,0.0,38.8,38.8,0.41800000000000004,33.768,0.08000000000000002,6.00,208.98,45,0.48
42,39.2,0.422,20.143333333333338,0.23143333333333335,25.9,0.0,39.2,39.2,0.422,34.26800000000001,0.08000000000000002,6.37,215.37,46,0.49
43,36.4,0.39399999999999996,18.613333333333333,0.21613333333333334,22.6,0.0,36.4,39.2,0.422,33.652,0.08000000000000002,6.26,221.66,44,0.47
44,38.8,0.418,18.173333333333332,0.21173333333333333,20.700000000000003,0.0,38.8,39.2,0.422,33.916,0.08000000000000002,6.13,227.82,50,0.53
45,37.0,0.4,19.726666666666667,0.2272666666666667,23.5,0.0,37.0,39.2,0.422,33.888000000000005,0.08000000000000002,6.13,233.99,47,0.5
46,37.6,0.406,18.671333333333333,0.21671333333333337,21.6,0.0,37.6,39.2,0.422,33.568,0.08000000000000002,6.19,240.21,48,0.51
47,38.2,0.41200000000000003,18.489333333333335,0.2148933333333333,21.700000000000003,0.0,38.2,39.2,0.422,34.164,0.08000000000000002,5.96,246.20,46,0.49
48,38.0,0.41,18.488,0.21488,23.6,0.0,38.0,39.2,0.422,34.488,0.08000000000000002,6.12,252.35,45,0.48
49,36.6,0.39599999999999996,18.012,0.21012,20.700000000000003,0.0,36.6,39.2,0.422,34.152,0.08000000000000002,6.69,259.07,47,0.5
50,38.4,0.414,18.099999999999998,0.211,22.0,0.0,38.4,39.2,0.422,33.908,0.08000000000000002,6.43,265.53,45,0.48
51,37.4,0.404,18.12,0.2112,21.299999999999997,0.0,37.4,39.2,0.422,33.74,0.08000000000000002,6.14,271.71,51,0.54
52,38.8,0.41800000000000004,17.44533333333333,0.20445333333333335,18.0,0.0,38.8,39.2,0.422,33.644,0.08000000000000002,6.07,277.81,46,0.49
53,37.8,0.40800000000000003,18.352,0.21352,21.5,0.0,37.8,39.2,0.422,33.992000000000004,0.08000000000000002,6.14,283.99,44,0.47
54,37.2,0.402,17.46,0.2046,18.299999999999997,0.0,37.2,39.2,0.422,33.964,0.08000000000000002,6.31,290.33,45,0.48
55,39.6,0.426,19.05,0.22050000000000003,22.5,0.0,39.6,39.6,0.426,34.428000000000004,0.08000000000000002,6.37,296.74,48,0.51
56,39.8,0.42800000000000005,18.601333333333333,0.21601333333333333,21.6,0.0,39.8,39.8,0.42800000000000005,34.288,0.08000000000000002,6.51,303.28,45,0.48
